INGESTA SENADORES DISTRITO MULTIPLE
Fecha: 2026-04-10 16:05:43.968361
============================================================

  AMAZONAS             | API:   0 | Nuevos:   0 | Ya existían:   0
  ANCASH               | API:   0 | Nuevos:   0 | Ya existían:   0
  APURIMAC             | API:   0 | Nuevos:   0 | Ya existían:   0
  AREQUIPA             | API:   0 | Nuevos:   0 | Ya existían:   0
  AYACUCHO             | API:   0 | Nuevos:   0 | Ya existían:   0
  CAJAMARCA            | API:   0 | Nuevos:   0 | Ya existían:   0
  CALLAO               | API:   0 | Nuevos:   0 | Ya existían:   0
  CUSCO                | API:   0 | Nuevos:   0 | Ya existían:   0
  HUANCAVELICA         | API:   0 | Nuevos:   0 | Ya existían:   0
  HUANUCO              | API:   0 | Nuevos:   0 | Ya existían:   0
  ICA                  | API:   0 | Nuevos:   0 | Ya existían:   0
  JUNIN                | API:   0 | Nuevos:   0 | Ya existían:   0
  LA LIBERTAD          | API:   0 | Nuevos:   0 | Ya existían:   0
  LAMBAYEQUE           | API:   0 | Nuevos:   0 | Ya existían:   0
  LIMA                 | API:   0 | Nuevos:   0 | Ya existían:   0
  LORETO               | API:   0 | Nuevos:   0 | Ya existían:   0
  MADRE DE DIOS        | API:   0 | Nuevos:   0 | Ya existían:   0
  MOQUEGUA             | API:   0 | Nuevos:   0 | Ya existían:   0
  PASCO                | API:   0 | Nuevos:   0 | Ya existían:   0
  PIURA                | API:   0 | Nuevos:   0 | Ya existían:   0
  PUNO                 | API:   0 | Nuevos:   0 | Ya existían:   0
  SAN MARTIN           | API:   0 | Nuevos:   0 | Ya existían:   0
  TACNA                | API:   0 | Nuevos:   0 | Ya existían:   0
  TUMBES               | API:   0 | Nuevos:   0 | Ya existían:   0
  UCAYALI              | API:   0 | Nuevos:   0 | Ya existían:   0
  EXTRANJERO           | API:   0 | Nuevos:   0 | Ya existían:   0

Nuevos: 0
Total candidatos: 5808
